datetime,timestamp,open,high,low,close,volume,ma_short,ma_long,signal,position,market_return,strategy_return,market_cumulative_return,strategy_cumulative_return,equity,drawdown,trade
2025-02-12 04:00:00,1739334600,0.7593,0.7601,0.7531,0.7587,1835014.41535374,,,0,0.0,,,,,,,
2025-02-12 05:00:00,1739336400,0.7588,0.7707,0.756,0.7668,2350435.30108136,,,0,0.0,0.01067615658362997,0.0,0.01067615658362997,0.0,10000.0,0.0,0.0
2025-02-12 06:00:00,1739340000,0.7669,0.7684,0.7569,0.7592,1251031.00484607,,,0,0.0,-0.009911319770474769,-0.0,0.0006590220113351641,0.0,10000.0,0.0,0.0
2025-02-12 07:00:00,1739343600,0.7588,0.7748,0.7587,0.7695,2469757.71109069,,,0,0.0,0.013566912539515252,0.0,0.014234875444839812,0.0,10000.0,0.0,0.0
2025-02-12 08:00:00,1739347200,0.7697,0.7772,0.7692,0.7709,1175801.54976682,,,0,0.0,0.001819363222872017,0.0,0.016080137076578405,0.0,10000.0,0.0,0.0
2025-02-12 09:00:00,1739350800,0.771,0.7944,0.7665,0.7886,1655704.8350666,,,0,0.0,0.022960176417174738,0.0,0.03940951627784384,0.0,10000.0,0.0,0.0
2025-02-12 10:00:00,1739354400,0.7884,0.794,0.7818,0.7926,2372500.96062544,,,0,0.0,0.005072279989855488,0.0,0.04468169236852537,0.0,10000.0,0.0,0.0
2025-02-12 11:00:00,1739358000,0.7928,0.8,0.784,0.7868,2178781.55980122,,,0,0.0,-0.007317688619732365,-0.0,0.037037037037037424,0.0,10000.0,0.0,0.0
2025-02-12 12:00:00,1739361600,0.7867,0.7989,0.7847,0.7855,1727884.4201289,,,0,0.0,-0.0016522623284189741,-0.0,0.03532357980756595,0.0,10000.0,0.0,0.0
2025-02-12 13:00:00,1739365200,0.7854,0.7995,0.7463,0.77,10545120.69509903,,,0,0.0,-0.019732654360280044,-0.0,0.01489389745617542,0.0,10000.0,0.0,0.0
2025-02-12 14:00:00,1739368800,0.7692,0.7787,0.7551,0.7718,5313105.900834559,,,0,0.0,0.002337662337662305,0.0,0.017266376696982055,0.0,10000.0,0.0,0.0
2025-02-12 15:00:00,1739372400,0.7718,0.7798,0.7585,0.7712,3393354.05875511,,,0,0.0,-0.0007774034724021828,-0.0,0.01647555028337977,0.0,10000.0,0.0,0.0
2025-02-12 16:00:00,1739376000,0.7714,0.7883,0.7593,0.7855,3531869.36947697,,,0,0.0,0.018542531120331995,0.0,0.03532357980756595,0.0,10000.0,0.0,0.0
2025-02-12 17:00:00,1739379600,0.7854,0.7927,0.7824,0.7884,4900908.5681543,,,0,0.0,0.0036919159770847365,0.0,0.03914590747331004,0.0,10000.0,0.0,0.0
2025-02-12 18:00:00,1739383200,0.7888,0.79,0.7784,0.7846,2880825.2846906898,,,0,0.0,-0.004819888381532245,-0.0,0.034137340187162746,0.0,10000.0,0.0,0.0
2025-02-12 19:00:00,1739386800,0.7844,0.7907,0.7744,0.7877,2522512.35380601,,,0,0.0,0.003951057863879726,0.0,0.03822327665744085,0.0,10000.0,0.0,0.0
2025-02-12 20:00:00,1739390400,0.7878,0.7952,0.7839,0.7915,1651236.26456117,,,0,0.0,0.004824171638948771,0.0,0.043231843943588144,0.0,10000.0,0.0,0.0
2025-02-12 21:00:00,1739394000,0.7919,0.7956,0.7865,0.7924,1425117.99400751,,,0,0.0,0.0011370814908402416,0.0,0.04441808356399157,0.0,10000.0,0.0,0.0
2025-02-12 22:00:00,1739397600,0.7923,0.8077,0.7888,0.7966,4168515.6803773,,,0,0.0,0.005300353356890497,0.0,0.04995386845920713,0.0,10000.0,0.0,0.0
2025-02-12 23:00:00,1739401200,0.7965,0.8015,0.7918,0.7997,2376228.76238597,0.7809,,0,0.0,0.003891539040923986,0.0,0.054039804929485236,0.0,10000.0,0.0,0.0
2025-02-13 00:00:00,1739404800,0.8,0.8002,0.7897,0.7937,1488403.51058866,0.7826500000000001,,0,0.0,-0.007502813555083199,-0.0,0.046131540793463044,0.0,10000.0,0.0,0.0
