,Moving Average Crossover,RSI Strategy,Bollinger Bands Strategy
total_return,0.09757171382951557,-0.07937143441952033,-0.00021901943430313597
annual_return,2.36567216452962,-0.6597367057291625,-0.0028513147312154707
sharpe_ratio,6.021981851558892,-4.540717009127539,-0.031468483521340414
max_drawdown,0.41739830541502465,0.27352445355234944,0.09009974944920118
win_rate,0.1875,0.26373626373626374,0.3188405797101449
num_trades,16.0,91.0,69.0
