,AAPL,AMZN,AVGO,BRK-B,COST,GOOGL,JPM,LLY,MA,META,MSFT,NVDA,ORCL,SPY,TSLA,TSM,UNH,V,WMT,XOM
Total Return,-0.7620840913817937,-0.20236828214095626,0.06406849615485011,-0.49640349350087254,-0.11324079802452847,0.011374155689195753,-0.6088945037109712,-0.18617174041933182,-0.10721703596256349,-0.05195782021223749,0.03598508921270516,-0.5766853702227498,-0.7851575716172183,-0.43953289817507213,-0.3204560340328574,-0.6910724662587506,-0.0994226359452034,-0.09925734909318018,-0.7576512729373402,-0.5325051709901247
Annual Return,-0.15021088469556576,-0.04010694152042116,0.020344651961287985,-0.11282582002369734,-0.015482103002469882,0.0027790335324580084,-0.09938543134052569,-0.0193776369086347,-0.030009337163192873,-0.0208867663638157,0.004562699106730461,-0.1527380376266516,-0.17956910015786043,-0.08669009518468951,-0.12453491112836756,-0.19406466898225172,-0.012928149838271397,-0.030622849953426567,-0.12649716412908463,-0.05860120302079419
Sharpe Ratio,-1.1240932477015413,-0.5975143571339441,0.20372389430764426,-1.4601034129976302,-0.2563776575137731,0.07458735849328388,-1.0142141103473854,-0.3900882172345821,-0.4001673337990845,-0.012364027026990593,0.09549016845807895,-0.7402060437750795,-1.2256445652661354,-1.046012514948981,-0.5574990754975861,-1.0353702566883518,-0.10003643917462579,-0.4457320608235695,-1.1237472006860743,-0.6371408953456419
Max Drawdown,0.7728808040478472,0.25611415720689046,0.1644919708873912,0.5033536761963298,0.19612202295225012,0.18648817710642684,0.6433959359802102,0.2865769691922363,0.16171775557221302,0.2633479842058396,0.22652495496864744,0.62804067615607,0.8013310371580293,0.4422307098403814,0.4908485892372333,0.7178469022767422,0.2680254662195184,0.13575978436609648,0.761579495684431,0.5329413374441778
Win Rate,0.21322537112010798,0.06824712643678162,0.24453024453024452,0.13504155124653738,0.061823802163833076,0.1460564751703992,0.12743362831858407,0.03203920090463626,0.18976545842217485,0.2150706436420722,0.09964230965763925,0.19051262433052793,0.2512768130745659,0.1528899937849596,0.2540983606557377,0.37244897959183676,0.10700197238658778,0.14285714285714285,0.266565694812571,0.0787897888433659
Profit Factor,0.7553222347981855,0.770201181751578,1.0507419017474113,0.6515280173931959,0.8869050716254767,1.0235897183136538,0.6999189907620429,0.791926329430972,0.898578591576902,0.9958826385779581,1.0367688556782468,0.8278262375058905,0.737242414250534,0.7378523934085599,0.8742449556797887,0.8156778411198161,0.9611106699669039,0.863823657225372,0.7658617960633902,0.7663918766951695
