,AAPL,AMZN,AVGO,BRK-B,COST,GOOGL,JPM,LLY,MA,META,MSFT,NVDA,ORCL,SPY,TSLA,TSM,UNH,V,WMT,XOM
Total Return,-0.5560718026126245,-0.20236828214095626,0.06406849615485011,-0.49640349350087254,0.025895223701121184,0.011374155689195753,-0.7774760847426831,-0.030872918081627954,-0.10721703596256349,-0.05195782021223749,-0.04635567600872759,-0.5766853702227498,-0.6095694558704293,-0.14011309419291573,-0.3204560340328574,-0.7067507958706424,-0.3603783837173421,-0.09925734909318018,-0.7055534045566388,-0.39415406104526984
Annual Return,-0.08794872038743373,-0.04010694152042116,0.020344651961287985,-0.11282582002369734,0.00332469869059393,0.0027790335324580084,-0.15427413381443977,-0.0029743094162725248,-0.030009337163192873,-0.0208867663638157,-0.006093294091433554,-0.1527380376266516,-0.1140064530173891,-0.02336504007287299,-0.12453491112836756,-0.20173784087856195,-0.05401567640215943,-0.030622849953426567,-0.11011588944498418,-0.039018155671807775
Sharpe Ratio,-0.7115358380279309,-0.5975143571339441,0.20372389430764426,-1.4601034129976302,0.08581655349434625,0.07458735849328388,-1.4899404847749327,-0.042088230539298895,-0.4001673337990845,-0.012364027026990593,-0.022069190291623877,-0.7402060437750795,-0.8617482379779634,-0.2833860256988341,-0.5574990754975861,-1.0659652267745754,-0.6506870891637803,-0.4457320608235695,-1.036608683603572,-0.4219181958684822
Max Drawdown,0.5692726872408831,0.25611415720689046,0.1644919708873912,0.5033536761963298,0.1511959897635301,0.18648817710642684,0.7899491963573437,0.1465029458542526,0.16171775557221302,0.2633479842058396,0.22863887943356886,0.62804067615607,0.633404554097377,0.2090277591077393,0.4908485892372333,0.7387927339146867,0.42471370762727767,0.13575978436609648,0.7353886572265358,0.44927528733474753
Win Rate,0.16779127305443095,0.06824712643678162,0.24453024453024452,0.13504155124653738,0.06903657908294693,0.1460564751703992,0.16238938053097346,0.03392385978137957,0.18976545842217485,0.2150706436420722,0.09555442003065917,0.19051262433052793,0.16802860061287028,0.12802983219390926,0.2540983606557377,0.3826530612244898,0.09960552268244575,0.14285714285714285,0.2400605831124574,0.06807437756066814
Profit Factor,0.8209016645004079,0.770201181751578,1.0507419017474113,0.6515280173931959,1.0391758559577509,1.0235897183136538,0.6281753734563422,0.9746296411297197,0.898578591576902,0.9958826385779581,0.9913911210859312,0.8278262375058905,0.7556799019265585,0.9103123029769015,0.8742449556797887,0.8122985312865363,0.7805741253566932,0.863823657225372,0.7696022913763811,0.8304145255757398
