,AAPL,AMZN,AVGO,BRK-B,COST,GOOGL,JPM,LLY,MA,META,MSFT,NVDA,ORCL,SPY,TSLA,TSM,UNH,V,WMT,XOM
Total Return,-0.7620840913817937,-0.20236828214095626,0.06406849615485011,-0.49640349350087254,-0.09295885757413336,0.011374155689195753,-0.6679871539919137,-0.6094254548132282,-0.10721703596256349,-0.05195782021223749,-0.04635567600872759,-0.5766853702227498,-0.6868369742989502,-0.43953289817507213,-0.3204560340328574,-0.7067507958706424,-0.14088808585948187,-0.09925734909318018,-0.7865330197372631,-0.6885315795186652
Annual Return,-0.15021088469556576,-0.04010694152042116,0.020344651961287985,-0.11282582002369734,-0.012587291903999986,0.0027790335324580084,-0.11568569340329693,-0.08542934935982904,-0.030009337163192873,-0.0208867663638157,-0.006093294091433554,-0.1527380376266516,-0.13879950611660885,-0.08669009518468951,-0.12453491112836756,-0.20173784087856195,-0.018692772504821265,-0.030622849953426567,-0.1370099118496112,-0.08847856205196392
Sharpe Ratio,-1.1240932477015413,-0.5975143571339441,0.20372389430764426,-1.4601034129976302,-0.21257516585204064,0.07458735849328388,-1.3617317383569147,-1.2422196732490962,-0.4001673337990845,-0.012364027026990593,-0.022069190291623877,-0.7402060437750795,-0.9584166621983481,-1.046012514948981,-0.5574990754975861,-1.0659652267745754,-0.23945426288828958,-0.4457320608235695,-1.2000124256785605,-1.0110525820014593
Max Drawdown,0.7728808040478472,0.25611415720689046,0.1644919708873912,0.5033536761963298,0.19008398725974618,0.18648817710642684,0.6943230479779378,0.61418058822321,0.16171775557221302,0.2633479842058396,0.22863887943356886,0.62804067615607,0.70941967396842,0.4422307098403814,0.4908485892372333,0.7387927339146867,0.3195079704835123,0.13575978436609648,0.7990523643517681,0.7027253997939392
Win Rate,0.21322537112010798,0.06824712643678162,0.24453024453024452,0.13504155124653738,0.05821741370427615,0.1460564751703992,0.134070796460177,0.05201658499811534,0.18976545842217485,0.2150706436420722,0.09555442003065917,0.19051262433052793,0.23493360572012256,0.1528899937849596,0.2540983606557377,0.3826530612244898,0.07741617357001973,0.14285714285714285,0.2555850056796668,0.08099590293098015
Profit Factor,0.7553222347981855,0.770201181751578,1.0507419017474113,0.6515280173931959,0.9016333853733359,1.0235897183136538,0.6498894635858218,0.5331241396618647,0.898578591576902,0.9958826385779581,0.9913911210859312,0.8278262375058905,0.7783451012121273,0.7378523934085599,0.8742449556797887,0.8122985312865363,0.9016370091105828,0.863823657225372,0.741209457253974,0.6690150838893612
