,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,TRX-USD,UNI-USD,XRP-USD
Total Return,-0.209185746620403,-0.043321814237442635,-0.14133838772619167,-0.05442139925453071,-0.2707115628342449,-0.5007824287826712,-0.17301172043056956,-0.10748017264477572,-0.2072831299682667,-0.24937756034375147,-0.8722402613260402,-0.6803275515492817,-0.15476072815828246
Annual Return,-0.1065386825876854,-0.034702034158248685,-0.07053169934046055,-0.018504117069579218,-0.14060726618960773,-0.41939733726838757,-0.08714943183644053,-0.05311643428391122,-0.07460284339839973,-0.18756614210875633,-0.6275490150512781,-0.5278128857146759,-0.07753427136354585
Sharpe Ratio,-0.4067061694811102,-0.07639768010234034,-0.31043222118497843,-0.11904681778737145,-0.453082988714119,-1.9526920287052716,-0.5840151105183734,-0.1418460863407611,-0.3658164850550357,-0.9685777750923537,-1.0354446169533378,-0.7242118704867169,-0.2758153417159556
Max Drawdown,0.3195119283639837,0.22121214324620608,0.31113260166446366,0.2279302229940594,0.42549929239023787,0.5205024806125835,0.23156114373732395,0.2736344375788018,0.31337584042619715,0.3394626238895391,0.8873017689635689,0.7274022393446677,0.36802863699278865
Win Rate,0.22285714285714286,0.22468354430379747,0.2342857142857143,0.16026490066225166,0.21523809523809523,0.2670807453416149,0.1961904761904762,0.17523809523809525,0.1814569536423841,0.26436781609195403,0.2419047619047619,0.2454308093994778,0.23047619047619047
Profit Factor,0.8959471817176783,0.9805929949584576,0.9153045342118868,0.9589903170164529,0.8802356314968941,0.6507515009154814,0.8423688734968169,0.9597036709979894,0.9050537785701777,0.798468334868884,0.5218267576852805,0.6970780573474752,0.9229088348887141
