,AAPL,AMZN,AVGO,BRK-B,COST,GOOGL,JPM,LLY,MA,META,MSFT,NVDA,ORCL,SPY,TSLA,TSM,UNH,V,WMT,XOM
Total Return,-0.6480065854108263,-0.11311019862650618,0.06406849615485011,-0.49640349350087254,-0.17154375647998255,0.011374155689195753,-0.7811876051745775,-0.30620723748188505,-0.10721703596256349,-0.05195782021223749,0.03598508921270516,-0.5766853702227498,-0.4631095634273211,-0.45467280466511284,-0.3204560340328574,-0.6459932802765134,-0.14088808585948187,-0.09925734909318018,-0.5329068760547065,-0.5485596504823566
Annual Return,-0.11162770023827606,-0.021495987213168588,0.020344651961287985,-0.11282582002369734,-0.024136801697236976,0.0027790335324580084,-0.15585879693868554,-0.03412945462952599,-0.030009337163192873,-0.0208867663638157,0.004562699106730461,-0.1527380376266516,-0.07692807856644002,-0.09059884295315845,-0.12453491112836756,-0.17364743663234128,-0.018692772504821265,-0.030622849953426567,-0.07005983062255527,-0.061210281423232704
Sharpe Ratio,-0.8682606888732632,-0.25538503515398336,0.20372389430764426,-1.4601034129976302,-0.3745888155270394,0.07458735849328388,-1.4166834485102544,-0.47134908918127366,-0.4001673337990845,-0.012364027026990593,0.09549016845807895,-0.7402060437750795,-0.4513260676276487,-1.128234906198645,-0.5574990754975861,-0.9201853049565647,-0.23945426288828958,-0.4457320608235695,-0.7804188868865375,-0.6643631381099371
Max Drawdown,0.6522107238815501,0.16812618719807504,0.1644919708873912,0.5033536761963298,0.24276915605565552,0.18648817710642684,0.7846683832515708,0.39575128809391324,0.16171775557221302,0.2633479842058396,0.22652495496864744,0.62804067615607,0.5108788066096132,0.45965202769303815,0.4908485892372333,0.6881980829538368,0.3195079704835123,0.13575978436609648,0.5742692757249017,0.5735903803720597
Win Rate,0.17498875393612237,0.09051724137931035,0.24453024453024452,0.13504155124653738,0.062339000515198355,0.1460564751703992,0.1517699115044248,0.04297022238974746,0.18976545842217485,0.2150706436420722,0.09964230965763925,0.19051262433052793,0.26149131767109296,0.17712865133623368,0.2540983606557377,0.3556851311953353,0.07741617357001973,0.14285714285714285,0.13176826959485044,0.09517806492278601
Profit Factor,0.7856645035343385,0.9021122462698966,1.0507419017474113,0.6515280173931959,0.8340499362136066,1.0235897183136538,0.6361401734765944,0.7642514704282923,0.898578591576902,0.9958826385779581,1.0367688556782468,0.8278262375058905,0.8913476043251044,0.7338512553980807,0.8742449556797887,0.830832357268731,0.9016370091105828,0.863823657225372,0.7711179198434107,0.780123272785943
