datetime,timestamp,open,high,low,close,volume
2025-05-17,1747470660,0.7753,0.7767,0.7272,0.7432,25403018.50089692
2025-05-18,1747526400,0.7433,0.7768,0.7181,0.7601,49517547.43206164
2025-05-19,1747612800,0.7603,0.7652,0.7105,0.7427,36949907.05635415
2025-05-20,1747699200,0.7429,0.7539,0.7228,0.7463,26895005.791777242
2025-05-21,1747785600,0.7461,0.7843,0.7369,0.7694,45730311.63432903
2025-05-22,1747872000,0.7697,0.8106,0.7688,0.8093,42558152.02721984
2025-05-23,1747958400,0.8094,0.8413,0.7434,0.7474,68224887.86157489
2025-05-24,1748044800,0.7472,0.7671,0.743,0.7558,10283907.44736926
