datetime,timestamp,open,high,low,close,volume
2025-05-17 08:00:00,1747470660,0.7753,0.7767,0.7689,0.7703,709429.74580482
2025-05-17 09:00:00,1747472400,0.7708,0.7726,0.7632,0.7654,1429262.58972364
2025-05-17 10:00:00,1747476000,0.7651,0.7693,0.762,0.7654,677121.0308861
2025-05-17 11:00:00,1747479600,0.7652,0.7674,0.7567,0.7602,959198.17258394
2025-05-17 12:00:00,1747483200,0.7605,0.7622,0.757,0.7574,1428075.18542871
2025-05-17 13:00:00,1747486800,0.7575,0.7611,0.7459,0.7502,2205508.26236141
2025-05-17 14:00:00,1747490400,0.7499,0.7584,0.7495,0.7566,1374195.7411204
2025-05-17 15:00:00,1747494000,0.7563,0.7579,0.7506,0.7507,1119263.82561607
2025-05-17 16:00:00,1747497600,0.7508,0.7512,0.7272,0.7372,4639483.6885533
2025-05-17 17:00:00,1747501200,0.7368,0.7449,0.7343,0.7367,2086220.11870377
2025-05-17 18:00:00,1747504800,0.7363,0.7473,0.7354,0.7365,2210323.67628674
2025-05-17 19:00:00,1747508400,0.7363,0.7412,0.7334,0.7354,955459.15137435
2025-05-17 20:00:00,1747512000,0.7351,0.754,0.733,0.7515,2297050.46958448
2025-05-17 21:00:00,1747515600,0.7517,0.7539,0.7421,0.7468,1015731.49439533
2025-05-17 22:00:00,1747519200,0.7462,0.7464,0.7332,0.7379,1348203.39376883
2025-05-17 23:00:00,1747522800,0.738,0.7447,0.7366,0.7432,948491.95470503
2025-05-18 00:00:00,1747526400,0.7433,0.7452,0.7375,0.7443,1174071.99979546
2025-05-18 01:00:00,1747530000,0.7443,0.7463,0.7395,0.7446,664720.05304373
2025-05-18 02:00:00,1747533600,0.745,0.7459,0.7406,0.7424,651211.31653101
2025-05-18 03:00:00,1747537200,0.7423,0.7454,0.7358,0.738,1642702.53552949
2025-05-18 04:00:00,1747540800,0.7381,0.7476,0.7381,0.7457,989774.2048768001
2025-05-18 05:00:00,1747544400,0.7458,0.7573,0.7452,0.7563,1709036.99395521
2025-05-18 06:00:00,1747548000,0.7561,0.7587,0.7509,0.7527,988810.49616866
2025-05-18 07:00:00,1747551600,0.7525,0.7608,0.7519,0.7595,837985.15531326
2025-05-18 08:00:00,1747555200,0.7597,0.7665,0.7595,0.7611,1044560.43183204
2025-05-18 09:00:00,1747558800,0.7614,0.7636,0.7554,0.7574,690792.2794261801
2025-05-18 10:00:00,1747562400,0.7575,0.7597,0.7557,0.758,332672.20486597
2025-05-18 11:00:00,1747566000,0.7579,0.7624,0.7553,0.7559,1013417.6072291001
2025-05-18 12:00:00,1747569600,0.7558,0.7573,0.7511,0.7571,1378090.24421188
2025-05-18 13:00:00,1747573200,0.7572,0.765,0.7547,0.7643,1673425.94644661
2025-05-18 14:00:00,1747576800,0.7651,0.7743,0.7609,0.7721,3090508.51423373
2025-05-18 15:00:00,1747580400,0.7725,0.7768,0.7661,0.7745,2806325.3731398
2025-05-18 16:00:00,1747584000,0.7745,0.7765,0.7674,0.7726,3813635.26247544
2025-05-18 17:00:00,1747587600,0.7727,0.7727,0.754,0.7548,3836543.23908074
2025-05-18 18:00:00,1747591200,0.7547,0.7557,0.7389,0.7462,4676352.08274126
2025-05-18 19:00:00,1747594800,0.7463,0.7498,0.7306,0.731,2848882.6492169
2025-05-18 20:00:00,1747598400,0.7305,0.7378,0.7181,0.7366,7058797.76694922
2025-05-18 21:00:00,1747602000,0.7367,0.7455,0.736,0.7385,1226376.24193369
2025-05-18 22:00:00,1747605600,0.7387,0.7513,0.732,0.7505,3372991.67610418
2025-05-18 23:00:00,1747609200,0.7507,0.763,0.746,0.7601,1995863.15696128
2025-05-19 00:00:00,1747612800,0.7603,0.7652,0.743,0.7453,2874004.04255494
2025-05-19 01:00:00,1747616400,0.745,0.7479,0.7389,0.7433,1293594.3140417999
2025-05-19 02:00:00,1747620000,0.7437,0.745,0.7354,0.7373,1852961.72542932
2025-05-19 03:00:00,1747623600,0.737,0.7371,0.7268,0.7283,2226955.97664722
2025-05-19 04:00:00,1747627200,0.7285,0.7317,0.7181,0.7219,3187671.67279434
2025-05-19 05:00:00,1747630800,0.7218,0.7242,0.7173,0.7227,1656033.44751903
2025-05-19 06:00:00,1747634400,0.7224,0.7275,0.7108,0.7111,2006236.84229299
2025-05-19 07:00:00,1747638000,0.7108,0.7258,0.7105,0.7235,998108.58689317
2025-05-19 08:00:00,1747641600,0.7232,0.7249,0.7167,0.7212,665577.45079969
2025-05-19 09:00:00,1747645200,0.7211,0.7257,0.7179,0.723,884464.66277039
2025-05-19 10:00:00,1747648800,0.7229,0.7277,0.719,0.7248,550734.84195776
2025-05-19 11:00:00,1747652400,0.7248,0.7301,0.7247,0.7285,540565.61564615
2025-05-19 12:00:00,1747656000,0.7284,0.7286,0.7176,0.7209,1272719.35616832
2025-05-19 13:00:00,1747659600,0.7209,0.7335,0.7195,0.7291,1900183.40244496
2025-05-19 14:00:00,1747663200,0.7292,0.735,0.7271,0.733,1403232.99505003
2025-05-19 15:00:00,1747666800,0.733,0.7396,0.7313,0.7362,1682873.64954671
2025-05-19 16:00:00,1747670400,0.7365,0.7418,0.7305,0.7413,2596467.46936788
2025-05-19 17:00:00,1747674000,0.7414,0.7476,0.7367,0.7396,2095279.63916088
2025-05-19 18:00:00,1747677600,0.7395,0.7434,0.7317,0.736,1455447.09359805
2025-05-19 19:00:00,1747681200,0.736,0.7428,0.734,0.7423,1558546.40594848
