symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,usd_size
BNB,BUY,LIMIT,IOC,275.99000000,744.25,737.85,FILLED,205405.83
HBAR,BUY,LIMIT,IOC,361953.00000000,0.30,0.30,FILLED,109910.65
ETH,BUY,LIMIT,IOC,30.00000000,3850.53,3833.50,FILLED,115515.90
ETH,BUY,LIMIT,IOC,37.29100000,3858.48,3840.91,FILLED,143886.58
BTC,BUY,LIMIT,IOC,3.64300000,97185.93,96717.00,FILLED,354048.34
BTC,BUY,LIMIT,IOC,1.15000000,97311.31,96882.10,FILLED,111908.01
BTC,BUY,LIMIT,IOC,1.12400000,97458.57,97022.30,FILLED,109543.43
BTC,BUY,LIMIT,IOC,2.60000000,97843.49,97388.00,FILLED,254393.07
BTC,BUY,LIMIT,IOC,2.78600000,97857.96,97393.80,FILLED,272632.28
ETH,BUY,LIMIT,IOC,98.17000000,3862.98,3844.87,FILLED,379228.75
BTC,BUY,LIMIT,IOC,1.30400000,98110.75,97707.80,FILLED,127936.42
BTCUSDC,BUY,LIMIT,IOC,1.05900000,98290.00,97899.40,FILLED,104089.11
BTC,BUY,LIMIT,IOC,5.95700000,98435.60,97961.33,FILLED,586380.87
BTC,BUY,LIMIT,IOC,1.35200000,98413.00,97964.50,FILLED,133054.38
BTC,BUY,LIMIT,IOC,1.98300000,98416.11,97947.60,FILLED,195159.15
SOL,BUY,LIMIT,IOC,601.00000000,234.92,233.38,FILLED,141188.06
BTCUSDC,BUY,LIMIT,IOC,3.08800000,98768.50,98390.90,FILLED,304997.13
ETHUSDC,BUY,LIMIT,IOC,33.95700000,3898.47,3881.52,FILLED,132380.35
BTCUSDC,BUY,LIMIT,IOC,1.31400000,98829.40,98393.10,FILLED,129861.83
ETH,BUY,LIMIT,IOC,40.00000000,3901.71,3883.16,FILLED,156068.40
BTC,BUY,LIMIT,IOC,3.00000000,98914.22,98440.01,FILLED,296742.66
BTCUSDC,BUY,LIMIT,IOC,2.20000000,99041.70,98593.70,FILLED,217891.74
BTC,BUY,LIMIT,IOC,4.55300000,98920.53,98541.67,FILLED,450385.17
SOL,BUY,LIMIT,IOC,458.00000000,236.14,234.64,FILLED,108151.20
BTC,BUY,LIMIT,IOC,1.11700000,99146.75,98689.70,FILLED,110746.92
BTC,BUY,LIMIT,IOC,4.46100000,99449.56,98975.10,FILLED,443644.49
LINK,SELL,LIMIT,IOC,7143.65000000,23.80,24.12,FILLED,169983.15
BTC,SELL,LIMIT,IOC,1.52500000,97853.99,98327.90,FILLED,149227.33
