symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,usd_size
ETH,BUY,LIMIT,IOC,46.67800000,3620.82,3604.67,FILLED,169012.64
ADA,BUY,LIMIT,IOC,205217.00000000,1.01,1.00,FILLED,207710.39
ORDI,BUY,LIMIT,IOC,3571.20000000,33.73,33.44,FILLED,120470.83
ETH,BUY,LIMIT,IOC,41.05500000,3642.62,3626.67,FILLED,149547.76
ETH,BUY,LIMIT,IOC,35.21700000,3648.30,3632.82,FILLED,128482.18
ETH,BUY,LIMIT,IOC,61.71400000,3654.53,3637.55,FILLED,225535.66
1000PEPE,BUY,LIMIT,IOC,9190754.00000000,0.02,0.02,FILLED,209626.39
ETH,BUY,LIMIT,IOC,474.46700000,3678.16,3658.81,FILLED,1745165.54
BTC,BUY,LIMIT,IOC,7.03800000,98037.00,97572.98,FILLED,689984.41
ENA,BUY,LIMIT,IOC,145559.00000000,0.92,0.91,FILLED,133808.20
BTC,BUY,LIMIT,IOC,2.15800000,98056.67,97618.70,FILLED,211606.29
UNI,BUY,LIMIT,IOC,6500.00000000,16.00,15.82,FILLED,104018.85
SUI,BUY,LIMIT,IOC,29265.00000000,4.27,4.21,FILLED,124939.34
BTC,BUY,LIMIT,IOC,0.99700000,101154.44,100735.30,FILLED,100850.98
ETH,SELL,LIMIT,IOC,27.00000000,3786.39,3802.08,FILLED,102232.53
SUI,BUY,LIMIT,IOC,47214.10000000,4.40,4.34,FILLED,207871.50
BTC,BUY,LIMIT,IOC,1.92900000,101686.94,101209.68,FILLED,196154.11
BNB,BUY,LIMIT,IOC,164.56000000,713.73,708.19,FILLED,117450.92
DOGE,SELL,LIMIT,IOC,295047.00000000,0.40,0.41,FILLED,119073.89
1000PEPE,SELL,LIMIT,IOC,4474451.00000000,0.02,0.02,FILLED,110472.41
1000PEPE,BUY,LIMIT,IOC,4930272.00000000,0.03,0.03,FILLED,126955.49
SOL,BUY,LIMIT,IOC,1589.00000000,230.35,228.79,FILLED,366021.22
BTC,BUY,LIMIT,IOC,1.00000000,101940.74,101492.50,FILLED,101940.74
ETH,BUY,LIMIT,IOC,52.90100000,3899.18,3882.22,FILLED,206270.52
BTC,BUY,LIMIT,IOC,1.54900000,102253.39,101764.10,FILLED,158390.50
BTCUSDC,BUY,LIMIT,IOC,0.99800000,102334.90,101877.40,FILLED,102130.23
ETH,BUY,LIMIT,IOC,78.90800000,3914.07,3895.04,FILLED,308851.44
ETH,BUY,LIMIT,IOC,51.03000000,3920.31,3903.02,FILLED,200053.42
ETH,BUY,LIMIT,IOC,25.94700000,3927.20,3911.00,FILLED,101899.06
SUI,BUY,LIMIT,IOC,42714.00000000,4.90,4.83,FILLED,209231.88
WIF,BUY,LIMIT,IOC,38632.10000000,3.23,3.19,FILLED,124921.68
XRP,BUY,LIMIT,IOC,59555.40000000,2.45,2.43,FILLED,145875.00
ETH,BUY,LIMIT,IOC,150.00000000,3960.42,3941.88,FILLED,594063.00
WIF,SELL,LIMIT,IOC,36192.10000000,3.05,3.10,FILLED,110497.40
SUI,SELL,LIMIT,IOC,43895.20000000,4.66,4.73,FILLED,204642.76
AAVE,BUY,LIMIT,IOC,283.00000000,362.27,358.75,FILLED,102523.82
NEAR,BUY,LIMIT,IOC,15000.00000000,7.25,7.18,FILLED,108786.00
ETH,BUY,LIMIT,IOC,61.94100000,3955.12,3936.32,FILLED,244984.09
SOL,BUY,LIMIT,IOC,1271.00000000,234.50,232.57,FILLED,298047.34
ETH,BUY,LIMIT,IOC,56.52900000,3959.48,3944.20,FILLED,223825.44
SOL,BUY,LIMIT,IOC,449.00000000,234.37,232.89,FILLED,105233.79
XRP,BUY,LIMIT,IOC,118373.00000000,2.50,2.46,FILLED,295411.66
DOGE,BUY,LIMIT,IOC,684285.00000000,0.43,0.42,FILLED,292670.75
1000PEPE,BUY,LIMIT,IOC,7403268.00000000,0.03,0.03,FILLED,189782.78
TRX,BUY,LIMIT,IOC,505534.00000000,0.30,0.29,FILLED,150881.68
NEIRO,SELL,LIMIT,IOC,84947708.00000000,0.00,0.00,FILLED,147759.74
LINK,SELL,LIMIT,IOC,4805.96000000,27.65,27.97,FILLED,132899.21
1000SHIB,SELL,LIMIT,IOC,7618157.00000000,0.03,0.03,FILLED,216866.08
DOGE,SELL,LIMIT,IOC,571726.00000000,0.41,0.41,FILLED,233436.30
GOAT,SELL,LIMIT,IOC,158830.00000000,0.77,0.78,FILLED,121867.43
BAN,SELL,LIMIT,IOC,1594555.00000000,0.09,0.09,FILLED,140536.26
ETH,SELL,LIMIT,IOC,29.99200000,3936.33,3951.20,FILLED,118058.41
ALGO,SELL,LIMIT,IOC,328715.50000000,0.43,0.43,FILLED,139934.19
BTC,BUY,LIMIT,IOC,1.94400000,101608.18,101135.20,FILLED,197526.30
ETH,SELL,LIMIT,IOC,150.00000000,3939.46,3957.52,FILLED,590919.00
BTC,BUY,LIMIT,IOC,2.45900000,102055.70,101572.90,FILLED,250954.97
SOL,SELL,LIMIT,IOC,1123.00000000,223.75,225.60,FILLED,251273.38
BCH,SELL,LIMIT,IOC,329.47600000,527.01,532.88,FILLED,173637.15
MOODENG,SELL,LIMIT,IOC,337203.00000000,0.38,0.39,FILLED,128745.15
ETH,SELL,LIMIT,IOC,29.12300000,3848.22,3864.67,FILLED,112071.71
1000PEPE,SELL,LIMIT,IOC,7878862.00000000,0.02,0.02,FILLED,181873.29
ENA,SELL,LIMIT,IOC,130351.00000000,1.01,1.02,FILLED,131547.74
1000SHIB,SELL,LIMIT,IOC,13778310.00000000,0.03,0.03,FILLED,375872.30
ETH,SELL,LIMIT,IOC,77.21900000,3839.62,3858.27,FILLED,296491.62
NEAR,SELL,LIMIT,IOC,19574.00000000,6.70,6.79,FILLED,131149.71
BTC,SELL,LIMIT,IOC,4.32500000,99091.81,99573.90,FILLED,428572.08
CHILLGUY,SELL,LIMIT,IOC,644122.00000000,0.30,0.30,FILLED,190039.95
WLD,SELL,LIMIT,IOC,52000.00000000,3.00,3.03,FILLED,155964.47
NEAR,SELL,LIMIT,IOC,30000.00000000,6.74,6.84,FILLED,202335.00
1000SHIB,SELL,LIMIT,IOC,5388118.00000000,0.03,0.03,FILLED,148135.53
ETH,SELL,LIMIT,IOC,114.04500000,3865.77,3884.45,FILLED,440871.74
LINK,SELL,LIMIT,IOC,5411.70000000,28.65,29.00,FILLED,155028.97
ETH,BUY,LIMIT,IOC,220.56700000,3965.17,3944.62,FILLED,874585.65
SOL,SELL,LIMIT,IOC,600.00000000,217.29,218.80,FILLED,130376.04
SUI,SELL,LIMIT,IOC,27080.20000000,4.34,4.40,FILLED,117582.66
FIL,SELL,LIMIT,IOC,20000.00000000,6.38,6.43,FILLED,127620.00
