trade_number,direction,entry_time,exit_time,entry_price,exit_price,position_size,profit_loss,profit_loss_pct,exit_reason
1,short,2021-04-15 00:00:00,2021-04-15 09:00:00,1.4313,1.465510688029641,73076.57764245915,-2500.0,-2.334386798341037,stop_loss
2,short,2021-04-15 17:00:00,2021-04-15 21:00:00,1.4754,1.483696709645667,49542.721716601736,-411.04157713872445,-0.5591917533906532,stop_loss
3,short,2021-05-01 09:00:00,2021-05-01 22:00:00,1.3303,1.3492892502857048,53166.930807824334,-1009.6001560325229,-1.4073520767829306,stop_loss
4,long,2021-05-31 00:00:00,2021-05-31 14:00:00,1.5703,1.643003290354333,4144.114250705607,301.29074163057885,4.629898131206334,stop_loss
5,long,2021-06-15 00:00:00,2021-06-15 14:00:00,1.5688,1.574703290354333,12092.812954393972,71.38738607042724,0.37629336781825895,stop_loss
6,short,2021-07-15 00:00:00,2021-07-31 00:00:00,1.2782,1.235396709645667,26546.506458661293,1136.2778238432543,3.4647405177734125,stop_loss
7,short,2021-07-31 00:00:00,2021-07-31 21:00:00,1.3188,1.322096709645667,32284.175682059442,-106.43155337345608,-0.24935465171459503,stop_loss
8,long,2021-08-31 00:00:00,2021-08-31 05:00:00,2.7204,2.784903290354333,4029.8134300798156,259.9362257542281,2.371095807761092,stop_loss
9,long,2021-09-15 00:00:00,2021-09-15 16:00:00,2.3829,2.541203290354333,5186.214980728187,820.9948959342062,6.643303972232695,stop_loss
10,long,2021-09-30 13:00:00,2021-09-30 19:00:00,2.0864,2.107503290354333,9424.514764556743,198.88827152514034,1.0114690545596883,stop_loss
11,short,2021-10-31 00:00:00,2021-10-31 02:00:00,1.9599,2.0031080890239936,9223.251017638284,-398.519051060755,-2.157052295917117,stop_loss
12,short,2021-11-01 21:00:00,2021-11-15 00:00:00,1.9399,1.9600658978922763,18683.29938001528,-376.7655075882172,-1.0288377505042745,stop_loss
13,short,2021-12-01 22:00:00,2021-12-15 00:00:00,1.5443,1.327402897764446,16334.197969225965,3542.840206866981,16.339959977550333,take_profit
14,short,2022-01-31 00:00:00,2022-01-31 16:00:00,1.0172,1.0505503874493134,15864.303935062584,-529.0806828480027,-3.174563338202796,stop_loss
15,short,2022-03-31 00:00:00,2022-04-01 06:00:00,1.1896,1.133296709645667,13049.073196866671,734.7057570581287,4.9680979283824644,stop_loss
16,long,2022-04-01 19:00:00,2022-04-15 00:00:00,1.1734,1.1561829067345557,31143.827520795436,-536.2061830684457,-1.4672825349790641,stop_loss
17,long,2022-04-15 14:00:00,2022-04-30 00:00:00,0.9521,0.9353298037033968,30158.756555838983,-505.7682675028868,-1.7613902212585963,stop_loss
18,short,2022-05-15 00:00:00,2022-05-15 09:00:00,0.528,0.5429967096456672,16061.407568373726,-240.86826580362128,-2.7618417163988385,stop_loss
19,short,2022-05-31 06:00:00,2022-05-31 22:00:00,0.6509,0.6222967096456672,20060.540018415566,573.7974508114539,4.596407133603431,stop_loss
20,short,2022-06-30 02:00:00,2022-06-30 23:00:00,0.4626,0.45839670964566714,24344.404219159456,102.3265994363733,0.9169547393963473,stop_loss
