param_rsi_oversold_threshold,param_rsi_overbought_threshold,param_stop_atr_multiplier,param_take_profit_atr_multiplier,param_max_bb_width,param_min_rel_volume,param_trend_filter_enabled,param_macd_filter_enabled,param_support_resistance_filter,stat_total_trades,stat_winning_trades,stat_win_rate,stat_profit_factor,stat_total_return,stat_total_return_pct,stat_max_drawdown_pct,stat_avg_trade,stat_sharpe_ratio
30,70,1.5,2.0,0.2,1.2,True,True,True,8,6,75.0,3.972325662086216,540.8468991357004,5.408468991357004,1.078357989918182,76.27041274812753,0.3216366414785025
35,70,1.5,2.0,0.2,1.2,True,True,True,8,6,75.0,3.972325662086216,540.8468991357004,5.408468991357004,1.078357989918182,76.27041274812753,0.3216366414785025
25,70,2.5,3.0,0.2,1.2,True,True,True,8,6,75.0,3.4782269447007645,485.9941948629603,4.8599419486296025,1.047414793950909,66.01993788941668,0.312113681647256
30,70,2.5,3.0,0.2,1.2,True,True,True,8,6,75.0,3.4782269447007645,485.9941948629603,4.8599419486296025,1.047414793950909,66.01993788941668,0.312113681647256
35,70,2.5,3.0,0.2,1.2,True,True,True,8,6,75.0,3.4782269447007645,485.9941948629603,4.8599419486296025,1.047414793950909,66.01993788941668,0.312113681647256
25,75,2.0,3.0,0.2,1.2,True,True,True,5,4,80.0,5.788593226003471,482.29120280005736,4.822912028000573,0.0,101.46539458553492,0.3196426221659169
30,75,2.0,3.0,0.2,1.2,True,True,True,5,4,80.0,5.788593226003471,482.29120280005736,4.822912028000573,0.0,101.46539458553492,0.3196426221659169
35,75,2.0,3.0,0.2,1.2,True,True,True,5,4,80.0,5.788593226003471,482.29120280005736,4.822912028000573,0.0,101.46539458553492,0.3196426221659169
25,65,1.5,2.0,0.2,1.2,True,True,True,15,9,60.0,1.9639453316310893,476.5463043903237,4.765463043903237,2.1678375897300106,40.38052676263931,0.21545933353674532
30,65,1.5,2.0,0.2,1.2,True,True,True,15,9,60.0,1.9639453316310893,476.5463043903237,4.765463043903237,2.1678375897300106,40.38052676263931,0.21545933353674532
35,65,1.5,2.0,0.2,1.2,True,True,True,15,9,60.0,1.9639453316310893,476.5463043903237,4.765463043903237,2.1678375897300106,40.38052676263931,0.21545933353674532
25,70,2.5,4.0,0.2,1.2,True,True,True,8,5,62.5,2.581746937427327,462.342109484689,4.62342109484689,1.0474147939509129,63.07932871670566,0.24457101103922718
30,70,2.5,4.0,0.2,1.2,True,True,True,8,5,62.5,2.581746937427327,462.342109484689,4.62342109484689,1.0474147939509129,63.07932871670566,0.24457101103922718
35,70,2.5,4.0,0.2,1.2,True,True,True,8,5,62.5,2.581746937427327,462.342109484689,4.62342109484689,1.0474147939509129,63.07932871670566,0.24457101103922718
25,65,3.0,2.0,0.2,1.2,True,True,True,15,12,80.0,2.63826219907088,443.79262018771624,4.437926201877163,1.4953053531131513,33.8124024387325,0.3221375500206985
30,65,3.0,2.0,0.2,1.2,True,True,True,15,12,80.0,2.63826219907088,443.79262018771624,4.437926201877163,1.4953053531131513,33.8124024387325,0.3221375500206985
35,65,3.0,2.0,0.2,1.2,True,True,True,15,12,80.0,2.63826219907088,443.79262018771624,4.437926201877163,1.4953053531131513,33.8124024387325,0.3221375500206985
25,70,2.5,2.0,0.2,1.2,True,True,True,8,7,87.5,5.468945091793399,425.8994154836291,4.258994154836291,1.0474147939509142,58.43249676903372,0.38486247466844864
30,70,2.5,2.0,0.2,1.2,True,True,True,8,7,87.5,5.468945091793399,425.8994154836291,4.258994154836291,1.0474147939509142,58.43249676903372,0.38486247466844864
35,70,2.5,2.0,0.2,1.2,True,True,True,8,7,87.5,5.468945091793399,425.8994154836291,4.258994154836291,1.0474147939509142,58.43249676903372,0.38486247466844864
25,65,2.5,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.164879407541888,408.5769371026181,4.08576937102618,2.4137853476092372,32.35099794769844,0.259095006018359
30,65,2.5,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.164879407541888,408.5769371026181,4.08576937102618,2.4137853476092372,32.35099794769844,0.259095006018359
35,65,2.5,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.164879407541888,408.5769371026181,4.08576937102618,2.4137853476092372,32.35099794769844,0.259095006018359
25,75,2.0,4.0,0.2,1.2,True,True,True,5,3,60.0,2.9017633203321496,375.7576676249264,3.7575766762492644,1.0582894651358639,80.20039395501396,0.21200727406267092
30,75,2.0,4.0,0.2,1.2,True,True,True,5,3,60.0,2.9017633203321496,375.7576676249264,3.7575766762492644,1.0582894651358639,80.20039395501396,0.21200727406267092
35,75,2.0,4.0,0.2,1.2,True,True,True,5,3,60.0,2.9017633203321496,375.7576676249264,3.7575766762492644,1.0582894651358639,80.20039395501396,0.21200727406267092
25,70,3.0,3.0,0.2,1.2,True,True,True,8,6,75.0,2.9174630701892887,369.1231888975126,3.6912318889751257,1.0396789949590883,50.50362937668472,0.27439635391298645
