Price,Adj Close,Close,High,Low,Open,Volume,sma,ema,tema,wma,kama,trima,rsi,macd,macdsignal,macdhist,mom,roc,willr,atr,upperband,middleband,lowerband,obv,mfi
2019-11-06 00:00:00+00:00,9360.8798828125,9360.8798828125,9423.2373046875,9305.9091796875,9340.8642578125,23133895765,,,,,,,,,,,,,,,,,,23133895765.0,
2019-11-07 00:00:00+00:00,9267.5615234375,9267.5615234375,9368.4765625,9202.353515625,9352.3935546875,22700383839,,,,,,,,,,,,,,,,,,433511926.0,
2019-11-08 00:00:00+00:00,8804.880859375,8804.880859375,9272.759765625,8775.5341796875,9265.3681640625,24333037836,,,,,,,,,,,,,,,,,,-23899525910.0,
2019-11-09 00:00:00+00:00,8813.58203125,8813.58203125,8891.818359375,8793.1630859375,8809.46875,17578630606,,,,,,,,,,,,,,,,,,-6320895304.0,
2019-11-10 00:00:00+00:00,9055.5263671875,9055.5263671875,9103.826171875,8806.162109375,8812.4892578125,20587919881,,,,,,,,,,,,,,,,,,14267024577.0,
2019-11-11 00:00:00+00:00,8757.7880859375,8757.7880859375,9081.279296875,8700.6083984375,9056.91796875,20265510765,,,,,,,,,,,,,,,,,,-5998486188.0,
2019-11-12 00:00:00+00:00,8815.662109375,8815.662109375,8853.7685546875,8685.427734375,8759.751953125,20309769107,,,,,,,,,,,,,,,,,,14311282919.0,
2019-11-13 00:00:00+00:00,8808.2626953125,8808.2626953125,8836.841796875,8761.6513671875,8812.033203125,17545755405,,,,,,,,,,,,,,,,,,-3234472486.0,
2019-11-14 00:00:00+00:00,8708.0947265625,8708.0947265625,8826.943359375,8692.5517578125,8811.9365234375,19084739975,,,,,,,,,,,,,,,,,,-22319212461.0,
2019-11-15 00:00:00+00:00,8491.9921875,8491.9921875,8730.873046875,8484.84375,8705.7080078125,21796856471,,,,,,,,,,,,,,,,,,-44116068932.0,
2019-11-16 00:00:00+00:00,8550.7607421875,8550.7607421875,8591.9970703125,8473.9736328125,8491.166015625,16495389808,,,,,,,,,,,-810.119140625,-8.654305479471635,,,,,,-27620679124.0,
2019-11-17 00:00:00+00:00,8577.9755859375,8577.9755859375,8727.7890625,8500.9677734375,8549.470703125,18668638897,,,,,,,,,,,-689.5859375,-7.4408563218711805,,,,,,-8952040227.0,
2019-11-18 00:00:00+00:00,8309.2861328125,8309.2861328125,8653.2802734375,8273.5732421875,8573.98046875,21579470673,,,,,,,,,,,-495.5947265625,-5.628636372005136,,,,,,-30531510900.0,
2019-11-19 00:00:00+00:00,8206.1455078125,8206.1455078125,8408.5166015625,8099.96337890625,8305.134765625,21083613816,,,,,,,,,,,-607.4365234375,-6.8920504884816935,-91.97580131841856,,,,,-51615124716.0,
2019-11-20 00:00:00+00:00,8027.26806640625,8027.26806640625,8237.240234375,8010.51171875,8203.61328125,20764300437,,,,,,,18.585680039732043,,,,-1028.25830078125,-11.355036240710659,-98.76606911192358,237.43746512276786,,,,-72379425153.0,20.33515750855494
2019-11-21 00:00:00+00:00,7642.75,7642.75,8110.09814453125,7597.3818359375,8023.64453125,22514243371,,,,,,,15.551730354147827,,,,-1115.0380859375,-12.731960113626538,-97.29206388250786,257.1002396564094,,,,-94893668524.0,20.63223522670071
2019-11-22 00:00:00+00:00,7296.57763671875,7296.57763671875,7697.3828125,6936.70654296875,7643.5693359375,34242315785,,,,,,,13.426723690914555,,,,-1519.08447265625,-17.231654909286764,-83.39403653818466,293.0699560760409,,,,-129135984309.0,20.359143277501808
2019-11-23 00:00:00+00:00,7397.796875,7397.796875,7442.2587890625,7151.41796875,7296.16455078125,21008924418,,,,,,,16.998016068555657,,,,-1410.4658203125,-16.012985410427284,-78.72335583689197,292.9107320929309,,,,-108127059891.0,26.64258458794377
2019-11-24 00:00:00+00:00,7047.9169921875,7047.9169921875,7408.5771484375,7029.2890625,7398.6337890625,30433517289,,,,,,,14.735250020915938,,,,-1660.177734375,-19.064764296958348,-94.81433077911744,299.0805430818287,,,,-138560577180.0,18.852242779705144
2019-11-25 00:00:00+00:00,7146.1337890625,7146.1337890625,7319.85693359375,6617.1669921875,7039.97705078125,42685231262,8354.34208984375,8354.34208984375,,7997.55695219494,,8440.759703480113,18.03383379231038,,,,-1345.8583984375,-15.84855907449574,-76.34952931519291,327.9097858192873,9725.810982579282,8354.34208984375,6982.873197108221,-95875345918.0,17.979977221115202
2019-11-26 00:00:00+00:00,7218.37109375,7218.37109375,7320.23046875,7098.572265625,7145.1591796875,21129505542,8247.216650390625,8246.15437593006,,7889.36923828125,7159.852362203295,8331.541441761363,20.470775782839898,,,,-1332.3896484375,-15.58211823029726,-72.91476660036507,320.3203870554097,9622.166045709444,8247.216650390625,6872.267255071805,-74745840376.0,24.061850733431754
2019-11-27 00:00:00+00:00,7531.66357421875,7531.66357421875,7619.693359375,6974.17431640625,7220.880859375,23991412764,8160.4217529296875,8178.107632909935,,7821.221326264881,7204.729424699607,8220.17597212358,30.167818318846074,,,,-1046.31201171875,-12.197656675941648,-58.61587644748059,343.54886247779115,9485.010342552789,8160.4217529296875,6835.833163306586,-50754427612.0,24.717671792627137
