ETH,BUY,LIMIT,IOC,50.00000000,3068.71,3055.19,FILLED,153435.50
ETH,BUY,LIMIT,IOC,109.00000000,3083.62,3070.21,FILLED,336114.58
ETH,BUY,LIMIT,IOC,78.81000000,3098.41,3086.77,FILLED,244185.69
BTC,BUY,LIMIT,IOC,44.40700000,89487.21,88882.40,FILLED,3973858.53
ETH,BUY,LIMIT,IOC,76.05300000,3112.82,3098.76,FILLED,236739.30
SOL,BUY,LIMIT,IOC,1424.00000000,217.15,215.33,FILLED,309225.59
ORDI,BUY,LIMIT,IOC,2718.70000000,38.87,38.48,FILLED,105664.51
1000PEPE,BUY,LIMIT,IOC,6679485.00000000,0.02,0.02,FILLED,159399.23
OM,BUY,LIMIT,IOC,62369.00000000,2.65,2.61,FILLED,165575.10
SUI,BUY,LIMIT,IOC,55520.10000000,3.79,3.74,FILLED,210557.59
OM,BUY,LIMIT,IOC,42167.50000000,2.69,2.65,FILLED,113554.15
DOGE,BUY,LIMIT,IOC,552100.00000000,0.39,0.38,FILLED,212770.51
NEIRO,BUY,LIMIT,IOC,73746896.00000000,0.00,0.00,FILLED,178272.80
SUI,BUY,LIMIT,IOC,266687.50000000,3.87,3.80,FILLED,1032285.97
ADA,BUY,LIMIT,IOC,165788.00000000,0.75,0.74,FILLED,124583.05
